ID	Drinking Category	Species	Sex	Age	Cortisol	ACTH	Testosterone	Deoxycorticosterone	Aldosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10073	VHD	Rhesus	F	5.629136806							11.17	0.879	0.55	4.721183027	20.72310541	1.494311454	0.78316678	463.1260288	237.0077816	199.3040958	4.041477258	1.34	0.378044545	35.06814092	131.2770953	3.063781958	2.6	0.109395877	24.38671762	0.072519238	9.210150998	444.0307643	24.88374509	11.96842079	377.2295972	10.3662926	33.32802099	0.984544558	23.73863285	0.814231697	0.2	33.32802099	0.072519238	
10074	LD	Rhesus	F	5.585330294							15.54	0.782	1.341044946	15.69067873	48.46612794	3.882410222	3.038555399	427.5054574	2196.965034	378.3070007	8.89828205	18.10634548	0.590758614	47.6733175	224.0841397	8.378037553	2.6	0.15979595	55.865956	0.797476202	27.77528532	1600.191133	39.5919104	27.57200955	2035.124018	23.88095313	143.2468381	6.18145095	51.15889745	2.408286635	0.2	143.2468381	0.797476202	
10075	HD	Rhesus	F	5.834479832							12.72	0.921	1.558165908	4.736586443	37.1063712	1.834807299	1.660606395	340.6788527	1585.915951	176.9672478	7.026716086	14.91918389	0.552718711	36.84749428	244.9107696	14.71993772	2.6	0.109395877	45.94155144	0.389150816	13.8653723	762.024039	39.54349496	41.26552095	1758.219099	18.85212973	56.85832097	2.828738615	30.72374134	1.611259166	0.556865243	56.85832097	0.389150816	
10077	LD	Rhesus	F	6.042560764							17.49	1.25	0.55	4.966314136	29.30657079	2.061679494	1.135159853	167.0386698	1206.523753	124.7239141	42.39833755	16.61921426	0.527330945	17.25657969	77.07583448	9.350521677	2.6	0.15972985	46.11801552	0.319923302	13.43276952	451.8204677	216.017656	54.95309134	1622.071534	16.84812946	33.32802099	2.145244443	20.46380571	2.408286635	3.779705727	33.32802099	0.319923302	
10078	VHD	Rhesus	F	3.835807717							14.02	1.47	0.18	0.609402724	26.50182798	1.081745203	0.82613856	298.5251672	995.9925382	169.8613665	7.120631365	17.32498941	1.426315938	30.06083403	154.3144609	1.519221189	0.29	0.415434968	42.30377054	0.059	19.50034116	539.0484127	99.19695889	95.48934177	331.7383944	25.33343203	165.6552483	2.591167664	237.4803676	5.208272386	0.29	165.6552483	0.059	
10079	VHD	Rhesus	F	4.156142837							21.48	2.31																																
10080	VHD	Rhesus	F	4.156142837							15.72	1.29	4.242769505	4.938002336	27.49626984	1.47989499	1.553695236	405.6237852	1174.974809	201.8712227	6.805042304	14.80654012	0.789617467	26.43810542	295.0881496	17.89645628	0.88	0.569878106	46.59399018	0.653735413	11.39229515	275.9008002	55.15446894	37.72131069	2431.127215	18.41266431	94.16495631	1.97436834	52.79631092	2.69338264	2.114730332	94.16495631	0.653735413	
10081	VHD	Rhesus	F	4.156142837							18.49	1.41	16.56420007	0.533897255	17.96861331	1.157236205	4.917409607	261.5202067	729.740064	69.93887106	5.957245126	16.97674472	1.241055635	79.96345501	156.108001	18.41575318	0.29	0.337704596	51.79560658	0.059	56.98738794	943.8258455	65.40929717	64.91199116	334.6574175	15.00476577	77.70836869	1.783405502	207.9663004	4.354114027	0.29	77.70836869	0.059	
10082	HD	Rhesus	M	6.291710302	26.59	154.5	2.46	368	235.676	0.15	41.6	2.84																																
10083	LD	Rhesus	M	5.793411227	22.01	70.07	1.36	299	131.624	0.133	11.57	0.944																																
10084	LD	Rhesus	M	5.656515876	32.15	64.14	2.08	397	129.785	0.087	32.91	1.89																																
10085	LD	Rhesus	M	5.864596809	17.96	110.4	1.94	325	59.784	0.184	29.05	1.53																																
10086	BD	Rhesus	M	5.642826341	12.86	22.47	7.79	243	45.048	0.151	26.91	0.991																																
10087	BD	Rhesus	M	4.356010048			2.7				14.21	0.788																																
10088	HD	Rhesus	M	4.487429584			4.77				26.96	1.83	3.879154226	3.332300689	31.0346344	1.154559863	2.044810589	252.5824161	254.9919545	122.2892895	4.390924855	10.87197334	0.193795009	63.1214699	137.9438413	8.461495776	7.076504032	0.159238336	35.56379105	0.389843161	12.96040404	428.292757	32.96151906	18.6651474	524.1472113	7.745506949	56.70711406	1.602847877	56.30406595	1.768185533	0.152180453	56.70711406	0.389843161	
10089	LD	Rhesus	M	4.648966098			0.16				26.17	1.3																																
10090	LD	Rhesus	M	4.254707489			0.29				35.95	1.53	2.476382245	2.87995033	14.4043322	1.074307013	1.370434323	287.2032972	333.4747517	119.2311437	4.766413265	8.314156828	0.728353983	30.9557069	264.9821235	9.590138853	0.88	0.414641814	23.16032593	0.438084143	5.744174611	821.6390229	36.98486151	36.91553862	779.3441897	10.97591021	74.56301883	1.354380381	57.2396234	2.69338264	0.29	74.56301883	0.438084143	
10091	VHD	Rhesus	M	4.34505842			0.21				20.46	1.41	3.141851981	4.732654274	0.835936572	1.141290788	1.186808594	66.68147692	481.3616246	126.5271047	2.286616794	10.14694993	0.607826845	171.8315163	94.27859399	5.999390727	0.88	0.184875531	20.62184418	0.346758586	9.913020661	371.4873126	28.98777731	16.56592461	817.0631283	9.613021629	31.76970353	0.97711753	59.41365999	1.57950288	0.29	31.76970353	0.346758586	
10092	LD	Rhesus	M	4.295776094			0.51				24.79	0.987	6.344465078	3.070804767	16.84598074	1.074307013	2.102384735	188.5764097	1282.270067	103.4700241	4.416745707	12.43462816	0.743832875	69.92560325	175.6810118	7.800467839	0.88	0.261069563	30.50042971	0.437518469	9.300947025	497.8672144	33.6304597	40.8623323	1737.080612	16.56323589	86.84558358	1.980803646	60.38399641	2.69338264	0.450327463	86.84558358	0.437518469	
10097	HD	Rhesus	M	4.334106792			1.47				43.97	1.23	3.896196894	4.274583744	53.82043898	1.930562468	2.71900334	261.0807419	2650.47106	130.9871211	7.359022947	15.29759622	0.383441482	18.78771253	189.5739541	14.77879741	0.88	0.13865197	51.54050808	1.201227887	10.42145329	1087.897425	54.36751045	629.8515277	2340.798178	17.50305739	131.5109406	2.631132109	64.92575127	2.534666625	0.605291698	131.5109406	1.201227887	
10098	VHD	Rhesus	M	3.986392602			1.35				30.85	1.09																																
10099	BD	Cyno	F	10.18227616							11.38	1.47																																
10102	LD	Cyno	F	10.42047407							20.38	1.24																																
10104	BD	Cyno	F	10.16311081							6.21	0.691																																
10199	LD	Cyno	M	5.829004018							13.65	1.58																																
10200	LD	Cyno	M	5.9001896							20.42	2.52																																
10201	HD	Cyno	M	5.9001896							13.73	1.16																																
10202	LD	Cyno	M	6.620259143							9.29	1.02																																
10203	LD	Cyno	M	5.63461262							9.9	0.802																																
10205	LD	Cyno	M	6.332778907							13.32	1.79																																
10206	LD	Cyno	M	6.143863324							7.95	0.887																																
10207	HD	Cyno	M	5.801624948							27.53	1.81																																
10208	BD	Rhesus	M	5.875548437							43.88	2.6							1206.098368	80.07501618							2.140437601		55.09136528	0		602.985841		20.14459207					32.0183795				0	20.14459207
10209	HD	Rhesus	M	5.837217739							13.86	1.11							5105.406911	91.42688763							3.838897745		73.34237238	0		678.0877241		24.99465583					18.58403933				0	24.99465583
