ID	DrinkingCategory	Species	Sex	Age	Cortisol	ACTH	Deoxycorticosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10210	LD	Rhesus	M	6.163028673	18.16	36.96	0.271	0.02	5.65	0.958							1303.60714	140.9013667							3.474488858		48.57197288	0		602.985841		58.6378059					13.04869725				0	58.6378059
10211	BD	Rhesus	M	5.018583544	28.37	333.3	0.499	0.102	18.88	1.36							948.6718247	182.3737552							2.916219874		37.80275103	0		628.3962426		68.91884667					18.58403933				0	68.91884667
10212	VHD	Rhesus	M	5.037748893	21.28	73.73	0.252	0.095	18	0.899							2211.951444	157.7845464							3.655162895		61.61075768	0		991.1689902		43.97983713					20.2247309				0	43.97983713
10213	LD	Rhesus	M	4.742054936	14.47	51.68	0.118	0.137	17.7	2.84							1716.788553	94.05989575							2.72479242		41.31355296	0		703.8481008		89.03012155					15.03048742				0	89.03012155
10214	VHD	Rhesus	M	5.037748893	15.25	27.94	0.173	0.074	12.9	1.56							782.8192522	115.1606529							0.619644034		23.15161088	0		777.2834466		47.66983851					27.38505626				0	47.66983851
10225	HD	Cyno	M	6.724299609	10.44	7.69	0.133	0.009	10.16	0.742																																
10226	HD	Cyno	M	6.527170305	10.81	32.16	0.18	0.006	20.44	0.908																																
10227	VHD	Cyno	M	6.603831701	20.3	273.5	0.804	0.054	31.26	1.01																																
10228	HD	Cyno	M	6.592880073	7.89	8.87	0.127	0.011	8.67	0.651																																
10229	HD	Cyno	M	6.790009377	13.32	19.72	0.099	0.056	35.66	0.865																																
10230	HD	Cyno	M	6.685968911	24.42	487.8	0.372	0.092	18.62	0.664																																
10231	LD	Cyno	M	6.497053328	16.6	14.11	0.266	0.016	35.29	2.32																																
10236	HD	Cyno	M	6.557287282	17.17	27.75	0.361	0.003	8.95	0.732																																
