ID	DrinkingCategory	Species	Sex	Age	Cortisol	ACTH	Testosterone	Deoxycorticosterone	Aldosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10082	HD	Rhesus	M	6.291710302	26.175	84.475	3.105	336.5	204.6145	0.146	26.44333333	1.42																																
10083	LD	Rhesus	M	5.793411227	22.165	36.01	3.255	298.5	84.803	0.1125	16.62	0.81																																
10084	LD	Rhesus	M	5.656515876	28.585	33.86	9.195	314	90.5375	0.21	27.4	1.4																																
10085	LD	Rhesus	M	5.864596809	19.055	60.69	4.296	307.5	85.944	0.1565	28.68333333	1.65																																
10086	BD	Rhesus	M	5.642826341	15.93	18.645	3.84	206.5	104.352	0.142	24.49333333	1.030666667																																
10087	BD	Rhesus	M	4.356010048	55.5	30.395	1.185	375	137.36	0.1575	25.5	1.426666667	1.361278447	4.3301286	10.98593874	1.154639569	1.375226468	404.3955559	202.1970637	146.8155495	3.124485661	13.32022993	0.22760692	41.88577753	122.2792327	6.272038589	0.88	0.056415724	38.06685572	0.345605428	7.62068771	450.7786326	32.96151906	15.58886816	570.9117281	14.42980775	17	1.998031397	41.33789729	1.001704441	0.29	17	0.345605428	
10088	HD	Rhesus	M	4.487429584	51.5	21.015	1.785	351.5	88.855	0.1825	33.05	2.03	7.778000662	3.989150719	19.14547561	1.095414564	1.486566215	350.67323	292.0846128	129.8721718	5.268952469	12.82298533	0.314867278	104.5638374	143.1495806	9.16918497	10.36803324	0.122383983	31.13182199	0.435331231	17.74601456	274.9355891	29.91741552	15.33150598	688.458551	8.679264289	69.12276364	2.246747454	33.72598542	1.5671502	0.29	69.12276364	0.435331231	
10089	LD	Rhesus	M	4.648966098	38.5	20.505	0.425	290.5	77.665	0.118	26.96333333	1.32	4.962484727	6.817367093	34.87837175	1.71122379	1.895867923	280.8855964	3478.398805	97.00875019	8.880985263	14.83090351	0.650331105	32.66776028	245.3952202	11.09695437	2.6	0.201810567	54.53497549	0.51616866	13.84664739	386.3700047	56.8690431	21.69724351	2315.655431	16.46296142	92.11773943	1.576547263	48.17191331	2.614796006	0.315434791	92.11773943	0.51616866	
10090	LD	Rhesus	M	4.254707489	42	16.395	1.975	325	73.935	0.155	42.06666667	1.406666667																																
10091	VHD	Rhesus	M	4.34505842	90	28.32	0.88	414.5	280.125	0.4425	30.17666667	1.534333333	1.988169969	5.867511384	19.99995532	1.671817246	1.712561388	174.5591972	579.4415842	199.2260366	4.428526541	13.32386413	0.330809853	64.94293963	116.0116162	7.295112212	0.88	15.85128553	30.74505402	0.561054719	9.797932309	1262.899394	39.16119022	17.34916682	1188.4373	14.42980775	33.00618065	1.772455923	48.97684642	1.001704441	1.176236487	33.00618065	0.561054719	
10092	LD	Rhesus	M	4.295776094	114.5	30.93	1.275	455	70.85	0.1	25.37	1.136666667	5.593759968	3.925549941	21.27939349	1.208635256	1.370434323	121.3950019	2203.770418	144.2643446	4.766413265	11.80136731	0.728353983	59.69457295	181.3690386	7.978611521	0.88	0.184875531	35.30205174	0.438146319	9.420982269	409.9142447	40.17153487	46.54204156	2159.512802	17.21909414	106.7914994	2.246341366	43.23767555	2.132595959	0.29	106.7914994	0.438146319	
10097	HD	Rhesus	M	4.334106792	50	33.4	0.645	420	83.71	0.1155	45.70666667	1.453333333																																
10098	VHD	Rhesus	M	3.986392602	61.5	18.115	8.51	398	267.78	0.3195	27.45666667	0.987																																
10099	BD	Cyno	F	10.18227616							9.983333333	1.146333333																																
10102	LD	Cyno	F	10.42047407							22.08666667	1.201																																
10104	BD	Cyno	F	10.16311081							6.456666667	0.435333333																																
10199	LD	Cyno	M	5.829004018							18.63333333	1.38																																
10200	LD	Cyno	M	5.9001896							21.03333333	1.66																																
10201	HD	Cyno	M	5.9001896							18.64333333	2.096666667																																
10202	LD	Cyno	M	6.620259143							11.39	1.043333333																																
10203	LD	Cyno	M	5.63461262							10.89333333	1.1																																
10205	LD	Cyno	M	6.332778907							14.09333333	1.023333333																																
10206	LD	Cyno	M	6.143863324							8.043333333	0.691666667																																
10207	HD	Cyno	M	5.801624948							25.54	1.403333333																																
10208	BD	Rhesus	M	5.875548437							34.25333333	2.26							2485.442324	112.5457089							3.287221791		90.49543777	0		849.7600524		36.91041362					26.40979633				0	36.91041362
10209	HD	Rhesus	M	5.837217739							16.31333333	0.908333333							3291.879738	258.2228537							5.498790357		79.38234649	0		1372.84273		21.11379922					26.40979633				0	21.11379922
10210	LD	Rhesus	M	6.163028673							10.71333333	1.122							1647.136755	147.9454683							4.1975511		79.38234649	0		943.8170074		22.08340877					16.80726338				0	22.08340877
10211	BD	Rhesus	M	5.018583544							28.95666667	1.453333333							357.5409186	134.9997509							2.140437601		25.32084077	0		628.3962426		18.93369211					16.80726338				0	18.93369211
10212	VHD	Rhesus	M	5.037748893							43.58666667	1.53							2504.483472	118.9464543							3.095794337		73.34237238	0		1349.136606		17.72352381					29.27218263				0	17.72352381
10213	LD	Rhesus	M	4.742054936							36.67333333	1.265333333							217.2289049	91.19002451							1.312325627		12.43991137	0		1513.392643		18.20746285					16.80726338				0	18.20746285
10214	VHD	Rhesus	M	5.037748893							36.22666667	1.926666667							60.69223961	110.4099187							0.185404268		8.293274245	0		1196.39292		10.96193129					14.8254732				0	10.96193129
10215	VHD	Rhesus	M	5.076079591							11.02666667	0.984666667							2569.15065	188.1237766							4.1975511		73.69070592	0		944.7297246		13.85615153					19.41867846				0	13.85615153
10225	HD	Cyno	M	6.724299609							18.13	1.290666667																																
10226	HD	Cyno	M	6.527170305							13.36666667	0.784333333																																
10227	VHD	Cyno	M	6.603831701							28.05666667	1.523333333																																
10228	HD	Cyno	M	6.592880073							9.326666667	0.842666667																																
10229	HD	Cyno	M	6.790009377							34.39333333	2.056666667																																
10230	HD	Cyno	M	6.685968911							15.60666667	1.333333333																																
10231	LD	Cyno	M	6.497053328							16.78333333	1.463333333																																
10235	HD	Cyno	M	6.620259143							9.336666667	0.76																																
10236	HD	Cyno	M	6.557287282							2.643333333	0.752666667																																
10242	VHD	Rhesus	M	5.193809592															2452.905459	135.7728108							6.051107064		153.24408	0		1027.486786		34.24188147					33.6374821				0	34.24188147
10243	LD	Rhesus	M	5.437483316															8022.151082	193.2961139							4.187685013		99.87762611	0		1933.188522		168.6859859					44.71217826				0	168.6859859
10244	VHD	Rhesus	M	5.327967036															3030.805251	200.8492131							8.332517512		167.6458533	0		1093.965834		55.57106137					33.68452071				0	55.57106137
10246	LD	Rhesus	M	5.174644243															2330.915226	181.2047776							8.147364843		132.9909101	0		1159.362959		59.74976925					34.99366283				0	59.74976925
10247	VHD	Rhesus	M	5.251305639															2319.465217	117.9601784							6.832380131		162.9601952	0		1236.730589		41.9657896					37.57114363				0	41.9657896
10248	VHD	Rhesus	M	5.390938897															3675.122557	120.6472909							2.57239119		114.1991006	0		718.8605834		88.3435576					30.97215925				0	88.3435576
10249	VHD	Rhesus	M	5.284160523															5109.561972	104.910281							7.308557459		167.7565803	0		1287.563274		62.9486587					36.30280495				0	62.9486587
10251	BD	Rhesus	M	5.229402383															7586.077667	158.6137859							6.221046076		131.9566998	0		1387.487229		81.41774901					34.90582078				0	81.41774901
10252	VHD	Rhesus	M	5.264995174															1990.073685	184.2575283							5.033377429		105.7495895	0		597.8454468		108.6843595					41.30437199				0	108.6843595
